Date,Open,High,Low,Close,Adj Close,Volume
2023-09-12,3650.000000,3660.000000,3610.000000,3620.000000,3493.326904,6763100
2023-09-13,3630.000000,3630.000000,3570.000000,3590.000000,3464.376465,7890700
2023-09-14,3580.000000,3610.000000,3560.000000,3560.000000,3435.426270,7980500
2023-09-15,3550.000000,3570.000000,3500.000000,3500.000000,3377.525879,19503200
2023-09-18,3500.000000,3520.000000,3460.000000,3470.000000,3348.575439,11035100
2023-09-19,3490.000000,3630.000000,3480.000000,3580.000000,3454.726318,10301100
2023-09-20,3580.000000,3670.000000,3570.000000,3630.000000,3502.976563,12091400
2023-09-21,3630.000000,3780.000000,3580.000000,3770.000000,3638.077881,24626400
2023-09-22,3770.000000,3890.000000,3750.000000,3850.000000,3715.278320,24114800
2023-09-25,3860.000000,3890.000000,3790.000000,3820.000000,3686.328125,10923700
2023-09-26,3800.000000,3820.000000,3770.000000,3820.000000,3686.328125,11435500
2023-09-27,3820.000000,3820.000000,3720.000000,3770.000000,3638.077881,9958600
2023-09-29,3770.000000,3780.000000,3690.000000,3740.000000,3609.127441,10670700
2023-10-02,3740.000000,3780.000000,3700.000000,3700.000000,3570.527344,7916700
2023-10-03,3700.000000,3700.000000,3590.000000,3590.000000,3464.376465,19196000
2023-10-04,3590.000000,3610.000000,3540.000000,3580.000000,3454.726318,9896800
2023-10-05,3610.000000,3680.000000,3580.000000,3660.000000,3531.927002,12777300
2023-10-06,3680.000000,3840.000000,3670.000000,3800.000000,3667.027832,23551700
2023-10-09,3800.000000,3800.000000,3700.000000,3720.000000,3589.827393,8305700
2023-10-10,3720.000000,3750.000000,3670.000000,3670.000000,3541.577148,3722500
2023-10-11,3670.000000,3710.000000,3610.000000,3610.000000,3483.676758,12320900
2023-10-12,3620.000000,3670.000000,3610.000000,3630.000000,3502.976563,10447600
2023-10-13,3610.000000,3660.000000,3610.000000,3650.000000,3522.276855,5584300
2023-10-16,3660.000000,3670.000000,3620.000000,3650.000000,3522.276855,4544700
2023-10-17,3650.000000,3840.000000,3630.000000,3830.000000,3695.978271,21600800
2023-10-18,3830.000000,3840.000000,3760.000000,3820.000000,3686.328125,8686200
2023-10-19,3800.000000,3850.000000,3770.000000,3810.000000,3676.677979,8884300
2023-10-20,3810.000000,3880.000000,3730.000000,3860.000000,3724.928467,13601000
2023-10-23,3860.000000,3860.000000,3760.000000,3840.000000,3705.628418,7703300
2023-10-24,3830.000000,4000.000000,3790.000000,3990.000000,3850.379395,29824500
2023-10-25,4000.000000,4100.000000,4000.000000,4080.000000,3937.229980,27547000
2023-10-26,4050.000000,4050.000000,3960.000000,3980.000000,3840.729248,19249700
2023-10-27,3980.000000,4070.000000,3950.000000,3980.000000,3840.729248,19668800
2023-10-30,3970.000000,3970.000000,3720.000000,3790.000000,3657.378174,26309000
2023-10-31,3790.000000,3820.000000,3620.000000,3620.000000,3493.326904,26496500
2023-11-01,3600.000000,3650.000000,3550.000000,3580.000000,3454.726318,22592200
2023-11-02,3600.000000,3670.000000,3570.000000,3590.000000,3464.376465,20934700
2023-11-03,3590.000000,3610.000000,3520.000000,3550.000000,3425.776123,17879200
2023-11-06,3550.000000,3630.000000,3550.000000,3620.000000,3493.326904,11111200
2023-11-07,3620.000000,3620.000000,3550.000000,3570.000000,3445.076416,10356800
2023-11-08,3560.000000,3600.000000,3560.000000,3600.000000,3474.026611,6267300
2023-11-09,3600.000000,3600.000000,3580.000000,3600.000000,3474.026611,4264700
2023-11-10,3600.000000,3600.000000,3550.000000,3590.000000,3464.376465,4501100
2023-11-13,3590.000000,3590.000000,3510.000000,3530.000000,3406.476074,9074200
2023-11-14,3510.000000,3520.000000,3470.000000,3480.000000,3358.225586,13579700
2023-11-15,3500.000000,3530.000000,3410.000000,3430.000000,3309.975342,30575200
2023-11-16,3440.000000,3460.000000,3420.000000,3460.000000,3338.925293,7704400
